target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,respFlanker.rt,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5022720000124536,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,l,0,1.3103778999939095,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1290651000017533,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.4581202999979723,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.188399600010598,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.4490961999981664,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3765496999985771,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.276512399999774,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3120360000029905,,,,,,,,,,,,dhn,f,20,2024_Apr_14_1016,mian,2021.2.3,60.633216938352135,
