target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respFlanker.rt,respAffWord.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.7389702000000398,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.6511116000001493,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.0138646000013978,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,2.960945200000424,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.8133992000002763,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.8055942999999388,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.5145542999998725,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0476791000000958,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1694820000011532,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.0595799999973678,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.6755249999987427,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.3770918999980495,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6358235999978206,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.9777475999981107,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5267328999980236,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,3.185354400000506,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,2.7423428000001877,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2534097999996447,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.053732399999717,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,1.7226507999985188,,,,,,,,,,,,fjc,f,22,2024_Apr_15_1428,mian,2021.2.3,59.875506846191094,
