target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.298540100000082,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.091323199999806,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.697436999999809,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1281081000001905,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.7603386999999202,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8126592999997229,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7806814000000486,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2878067999999985,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.6897108000002845,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7805296999999882,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0961208000003353,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.090465199999926,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4180907999998453,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8201380000000427,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.890114000000267,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9641841999996359,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.2170638000002327,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.8190331000000697,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,2.017310500000349,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.972212799999852,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,1.0281604000001607,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,0.958915899999738,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
8h,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,1.2197536999997283,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
a2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.9120904000001246,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,1.0212694000001648,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.6361456999998154,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
h6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,1.6189209000003757,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
f9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.7534406999998282,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,1.115021699999943,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
6e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,l,1,0.7123151000000689,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
5G,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,a,1,1.513158199999907,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
h3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,a,1,0.7344999000001735,,,,,,,,,,,,sxl,f,21,2024_Apr_15_1034,mian,2021.2.3,59.873212485240074,
