target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.317481799999996,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6288159000000064,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9856090000000108,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8980189999999766,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.0953478000000132,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8138497999999572,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.9744382999999743,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.719597599999986,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7861833999999703,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.4655382999999915,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.697531099999992,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4230501000000118,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.4747507000000155,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6645148000000063,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6244888999999603,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.69586129999999,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8367514000000256,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.626262200000042,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7648148999999762,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6254938000000152,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,0.4650101999999947,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,0.6931791000000089,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
8h,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,0.7912830999999869,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
a2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.6155611000000363,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,0.7379516999999964,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.6652155999999536,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
h6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,0.8961192999999525,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
f9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.8286562000000117,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,0.5489003000000139,,,,,,,,,,,,wm,f,18,2024_Apr_09_1000,mian,2021.2.3,59.90671326608967,
