target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1262102999999115,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8752375999999913,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.934469799999988,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6644338000000971,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6935622000000876,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9746132000000216,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7515233999999964,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.6235690999999406,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.167919700000084,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6765081999999438,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7097192000001087,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7053648999999496,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.1460649999999077,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7553917000000183,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.9026165000000219,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.9517562000000908,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7125168000000031,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.5218709000000672,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6267153999999664,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6465705000000526,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
7h,1,1,h,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,l,1,0.9276793999999882,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
8F,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,a,1,0.7494415999999546,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
8h,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,l,1,0.7241986999999881,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
a2,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,l,1,0.7471457999999984,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
8f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,l,1,0.615529300000162,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
6a,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,l,1,0.6568597999998929,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
h6,2,1,6.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,l,1,0.6982263999998395,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
f9,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,a,1,0.5393827999998848,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
E4,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,a,1,0.5496533000000454,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
6e,1,2,e,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,l,1,0.5742890999999872,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5G,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,a,1,0.5544786000000386,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
h3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,a,1,0.6624999000000571,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,l,1,0.5826795999998922,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
a8,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,l,1,0.7841255000000729,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,l,1,1.2106295000000955,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
3f,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,a,1,0.6316001000000142,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
7f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,l,1,0.6985383000001093,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
a7,1,2,a,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,l,1,1.3301754999999957,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5A,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,a,1,1.0133052000001044,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
8g,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,l,1,0.5265956999999162,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,l,1,1.047148899999911,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
f7,1,2,f,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,l,1,0.673299600000064,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
g9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,a,1,0.6512801999999738,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
3h,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,a,1,0.5518589000000702,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
E6,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,a,1,0.5272833999999875,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
F6,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,a,1,0.5163603000000876,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
3A,2,1,3.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,l,0,0.9305429999999433,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
8H,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,l,1,0.5335841999999502,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5a,1,1,a,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,l,1,1.3536997999999585,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,l,1,0.767759900000101,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,a,1,0.8007333999998991,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
a3,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,a,1,0.5252605999999105,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
f3,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,l,1,0.7239365000000362,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2E,1,2,E,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,a,1,0.4645066999999017,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2H,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,l,1,0.5417388999999275,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
H8,2,2,8.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,l,1,0.591641700000082,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9g,1,1,g,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,l,1,1.0099204999999074,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5h,1,2,h,l,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,l,1,0.5616112000000157,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,l,1,0.6576211999999941,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9h,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,a,1,0.5674453999999969,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
G3,1,1,G,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,a,1,0.6803325999999288,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
9A,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,a,1,0.48422279999999773,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
H5,2,1,5.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,a,1,0.8523479000000407,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
4e,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,l,1,0.5621084000001701,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
E2,1,1,E,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,a,1,0.9361189999999624,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
A5,1,2,A,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,a,1,0.44666129999995974,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2A,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,,,,,l,1,0.9200791000000663,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
6G,2,2,6.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,,,,,l,1,0.5150928000000476,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
H3,1,1,H,a,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,,,,,a,1,0.8149387000000843,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
H2,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,49,49,49,,,,,,,,,,,,,,,,,,,,,a,1,0.469973600000003,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e9,2,1,9.0,a,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,50,50,50,,,,,,,,,,,,,,,,,,,,,a,1,0.7145304000000579,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
2G,2,2,2.0,l,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,51,51,51,,,,,,,,,,,,,,,,,,,,,l,1,0.5821660999999949,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
4f,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,52,52,52,,,,,,,,,,,,,,,,,,,,,l,1,0.8517851000001428,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
H6,1,2,H,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,53,53,53,,,,,,,,,,,,,,,,,,,,,a,1,1.0057675000000472,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
A4,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,54,54,54,,,,,,,,,,,,,,,,,,,,,l,1,1.142135000000053,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
3F,2,2,3.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,,,,a,1,1.2110592000001361,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
7e,1,1,e,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,56,56,56,,,,,,,,,,,,,,,,,,,,,l,1,0.6132730000001629,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
F9,1,2,F,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,57,57,57,,,,,,,,,,,,,,,,,,,,,a,1,0.9839348999998947,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
e2,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,,,,,,,,,0,58,58,58,,,,,,,,,,,,,,,,,,,,,l,1,0.7823424999999133,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
5F,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,,,,,,,,,0,59,59,59,,,,,,,,,,,,,,,,,,,,,a,1,0.49450789999991684,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
f6,1,1,f,l,"[0.2, 0.2]",,,,,,,,,,,,,,,,0,60,60,60,,,,,,,,,,,,,,,,,,,,,l,1,0.5796037000000069,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
7G,1,2,G,a,"[-0.2, 0.2]",,,,,,,,,,,,,,,,0,61,61,61,,,,,,,,,,,,,,,,,,,,,a,1,1.1354937999999493,,,,,,,,,,,,gjy,f,20,2024_Apr_10_1102,mian,2021.2.3,60.113132916122204,
