target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.9787149999756366,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.7879574999969918,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.94413939997321,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.821202599996468,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3899767999828327,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.0149355999892578,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.332185400009621,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.8293346999853384,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1528753000020515,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.52294249998522,,,,,,,,,,,,hcc,f,19,2024_Apr_17_1620,mian,2021.2.3,58.84024696626782,
