target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,l,0,2.300173799994809,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,3.337670299995807,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,4.401159000000916,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.2711951999954181,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,a,0,1.1595046000002185,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.0474147999993875,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.07250679999560816,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.1993810999993002,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,a,0,2.9860812999977497,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.10606790000019828,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.08355409999785479,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.07751949999510543,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.10859979999804636,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.21240389999729814,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
A5,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.19021079999947688,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
a6,1,2,a,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.2029467000029399,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
2F,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.023881799999799114,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
e4,2,2,4.0,l,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.0006778000024496578,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.221638700000767,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.7659038999991026,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.3799849999995786,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.818213200000173,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,2.500912600000447,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.4384321000034106,,,,,,,,,,,,sja,m,21,2024_Apr_18_1838,mian,2021.2.3,60.15576734215231,
