target,反应类型,条件,truetarget,CorAns,Position,congruency,AffValue,flankerPic,targetPic,corAnsF,corAnsA,RestPic,returnPractice.thisRepN,returnPractice.thisTrialN,returnPractice.thisN,returnPractice.thisIndex,pracNum.thisRepN,pracNum.thisTrialN,pracNum.thisN,pracNum.thisIndex,NumBlock1.thisRepN,NumBlock1.thisTrialN,NumBlock1.thisN,NumBlock1.thisIndex,NumBlock2.thisRepN,NumBlock2.thisTrialN,NumBlock2.thisN,NumBlock2.thisIndex,returnPrac.thisRepN,returnPrac.thisTrialN,returnPrac.thisN,returnPrac.thisIndex,PracAff.thisRepN,PracAff.thisTrialN,PracAff.thisN,PracAff.thisIndex,AffBlocks.thisRepN,AffBlocks.thisTrialN,AffBlocks.thisN,AffBlocks.thisIndex,AffBlock1.thisRepN,AffBlock1.thisTrialN,AffBlock1.thisN,AffBlock1.thisIndex,respNum2word.keys,respNum2word.corr,respNum2word.rt,text.started,text.stopped,blank.started,blank.stopped,respFlanker.keys,respFlanker.corr,thisWord,respAffWord.keys,respAffWord.corr,respAffWord.rt,respFlanker.rt,姓名,性别,年龄（周岁）,date,expName,psychopyVersion,frameRate,
2A,1,1,A,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.8118814999761526,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
A9,1,2,A,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.521213500003796,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
7e,2,1,7.0,a,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.0979829000134487,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
9H,2,2,9.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.865935999987414,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
h4,1,1,h,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.5242136000015307,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
4H,1,2,H,a,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.8112694000010379,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
F8,2,1,8.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2761358999996446,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
h7,2,2,7.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.5947643999825232,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
5e,1,1,e,l,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,l,1,3.388099299976602,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
e8,1,2,e,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.7948777000128757,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
4E,2,1,4.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,l,1,1.091198499983875,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
5H,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.385870000027353,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
9E,1,1,E,a,"[0.2, 0.2]",,,,,,,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,a,1,1.3451069000002462,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
h9,1,2,h,l,"[-0.2, 0.2]",,,,,,,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,l,1,0.6587019999860786,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
2a,2,1,2.0,l,"[-0.2, -0.2]",,,,,,,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,a,0,0.8679111999808811,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
e5,2,2,5.0,a,"[0.2, -0.2]",,,,,,,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,a,1,2.2133701000129804,,,,,,,,,,,,xyh,m,20,2024_Apr_15_1439,mian,2021.2.3,59.83899718729389,
